"key","Age_in_years","Bike_Type","Brake_Type","Brand","Cassette","Chainrings","Color","Condition","Crankset","Department","Drivetrain_Type","Features","Fork","Frame_Number","Frame_Size","Front_Derailleur","Gear_Change_Mechanism","Gender","Handlebar_Type","Item_Weight","MPN","Material","Model","Model_Year","Number_of_Speeds","Rear_Derailleur","Saddle","Seatpost","Shifter_Style","Shifters","Stem","Suspension_Type","Tyre_Type","UPC","Vintage","Wheel_Set","Wheel_Size","context_identifier","currency","execution_id","feed_code","item_ranking","price","record_create_by","record_create_dt","site","source_country","src","starting_bid","title","total_bid","type"
"","","Kids Bike","Coaster Brake","Giant","","","Yellow & Pink","Used","","Girls","","Adjustable Seat","","","","","","","","","","ALUXX-grade aluminum","Liv Adore","","1 Speed","","","","","","","Rigid","","","No","","12 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","49","AU $140.00","ebay_australia_bike","2022-10-17 17:36:48","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/175184417309?hash=item28c9ce121d:g:gdsAAOSwg7RiIJqD&amdata=enc%3AAQAHAAAAoPaNGw2AsqgShZ6CSsOcg5oGSx5TLpnHNbRe83agH0pFNPlqTbZw6Y7nkxX9VuNiP4hzvbwjr%2F%2FdJNqmjZ0u6cug8GLY6MkCG3ZuznOzhp82gi2iLazAzPLeshULwbHH2TF9HWkfD2KSEST8z%2B0LAxgevnpslTfgfmCCRgD%2FlTxdD%2BeG5Ho8QcWS5snE%2B%2BVFb5U7nkqX7YTg2D2ndkhoh1U%3D%7Ctkp%3ABk9SR8j7pvD8YA",""," Giant Liv Adore 12"" Girls Kids toddlers Bike Pink & Yellow Training Bicycle","","Bikes"
"","8","Road Bike","","Giant","","","","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","Unisex Adult","","","","","Medium","","","","","","","Carbon Fibre","","2014","","","","","","","","","","","No","","700C","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","50","AU $3,000.00","ebay_australia_bike","2022-10-17 17:36:48","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/363822983629?hash=item54b58a29cd:g:rWoAAOSwnTpibo8p&amdata=enc%3AAQAHAAAA4M1EjC%2BQ6zcOEXMKNgzfAUDQuE5RwX8lz6rqNUAHQRVy7MQ26VwDWDQaEBY8Y9PG4oYms8croFJzkmmyuxXLo95%2FSAwx8TWxBqoLToIkSnByCykZG04nw7RMJ9GAfB2ioiCoxJWrxJfb7HykFKhQpnKHNLiX2jbhed4cgt%2FB%2Bqj2Gjk%2BzULAmJEI%2Fb6Aug0SxxiO%2B6Em5cd88oSSuaTrLJRFlfj8Ys17iV%2Bx6%2BuRfT%2F5PbtMZQ1kCBQ%2FmY9mgVtqEVrMTk5Ikv7kbhNzvh4%2B0hMVOTlvhnlMsqDjiIwgqAaU%7Ctkp%3ABk9SR8T7pvD8YA",""," 2014 Giant Envie Advanced Liv, Limited Edition Road Bike. ","","Bikes"
"","","Folding Bike","","Giant","","","","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","Men","","","","","Small","","","","Flat Bar","","","Aluminium","","","","","","","","","","No Suspension","","","No","","20 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","51","AU $500.00","ebay_australia_bike","2022-10-17 17:36:48","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/394062915969?hash=item5bbffae981:g:gJcAAOSwn0BieOzd&amdata=enc%3AAQAHAAAAoIFUxOMzaZ0HLeCteJLdz9rK6m3jFq5t9eGv6rO1c0hMaqFXinEMBpvMr1oOdo1m%2F3gnn4ridAer7ep3XTeOa2gqY15aR4wmZ%2BRIUaC2gfsr0BT%2FqYXUMlwcTs9KOB4I8uCvyaIVKoUZuBOWObzW00lDEgTRiVYFInpJXz7IQd06w%2F%2FyKLyzw9HKgET9splVFXbt4qljTDt2BdI5P2DTxEw%3D%7Ctkp%3ABk9SR8T7pvD8YA",""," GIANT Expressway 2 folding bike 20”","","Bikes"
"","","Mountain Bike","","Giant","","","","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","Unisex Adult","","","","","Medium","","","","Flat Bar","","","Alloy","","","","","","","","","","Front","","","No","","26 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","52","AU $380.00","ebay_australia_bike","2022-10-17 17:36:48","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/154882922973?hash=item240fbdd9dd:g:nu4AAOSwJjdiIqxm&amdata=enc%3AAQAHAAAAoBQOGFQgSR4xXaaBO%2Fq82mCs%2BpketvDv4dgAxzjIZgwPZZPj3%2FmY2lf6BGrtCVT5BXU7KLBP3hN0zeRU9SvFIpDhdQMnwqG4m4e1Ctuw9wQeKbpyqNCfXWztXPKG%2FIcAzZa8pA%2BnAx5bPWaYts69p1yMRcWouznCZKHgA7BEsYQMVpHljV99MGDLe1OC9zb1qz%2FEYC2zUGF1Y3Z0DVkKBjY%3D%7Ctkp%3ABk9SR8b7pvD8YA",""," Strata Giant Bike","","Bikes"
"","","Road Bike","Rim Brake - Mechanical","Giant","","","","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","Unisex Adult","","","","","56 cm","","Derailleur Gears","","Drop Bar","","","Aluminium","OCR2","","27 Speed","","","","Road Bike Shifter","","","No Suspension","","","No","","700C","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","53","AU $395.00","ebay_australia_bike","2022-10-17 17:36:48","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/134105799876?hash=item1f39541cc4:g:N4EAAOSwAiRichMl&amdata=enc%3AAQAHAAAAoG%2FYEXI31BOfN8foF3bvwNnuRHR5XnZuHacqFFEYTmSXKixR3DTsJWSKHPRQoPYS29X12pHXrVKjHLCgXSARSf3iPOURL0tWvz6mHDRISSKAEg9dLgwYg6ymVt9INzBqC6A4S4040XdfcVxGhFZUwHmkFRrrPCWs1JnW44%2FcU0x2kA1pLReLpauZY7%2BwP4Qc95U9HsOADsRTDcU1QhuTtY4%3D%7Ctkp%3ABk9SR8T7pvD8YA",""," road bikes used - Giant OCR2","","Bikes"
"","","Kids Bike","","Giant","","","Multicoloured","Used","","Unisex Children","","","","","27 cm","","Derailleur Gears","","","","","","XTC Jr","","7 Speed","","","","","","","Front","","","No","","20 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","54","AU $199.00","ebay_australia_bike","2022-10-17 17:36:48","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/203869731211?hash=item2f7795398b:g:-pEAAOSwHXJjOPq8&amdata=enc%3AAQAHAAAAoHYkGPpf2%2BET%2Fw2GhiyOJ6v4ZWA6MxCVkSwTL%2BhSVmPq8rqbt9GwPCFr%2Fx6eSVI%2FD6j8D0UBhfHcCnwSNv%2BjCvaxcRUlcEt8i4ArcEMiXyL9Tyb1KstXft2rUJaNYVFGvhv%2BhOVF89JQ%2BfEJwnQO3fNequC1EkwIpIlmWLY%2FFVEfl4Pc%2FXVrkC7YGf4L4ltituMQYcR1qwsdj%2BKiAnZILEM%3D%7Ctkp%3ABk9SR8b7pvD8YA",""," Giant XTC Junior 20 inch Kids Mountain Bike ","","Bikes"
"","","Mountain Bike","","Giant","","","","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","","","","","","Small","","","","","","","","","","","","","","","","","","","","No","","26 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","55","AU $1,200.00","ebay_australia_bike","2022-10-17 17:36:49","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/125307401616?hash=item1d2ce73590:g:aogAAOSw7JNietL~&amdata=enc%3AAQAHAAAAoCYov7VjhX1597egLbb5wUX03tUXV2e8eUoyX%2B2aUhulZG2WH7Dzi0oo47Pzo%2FFmJyuXSD4LuDcfWh0jDcx506GHxUibGz9%2FQw9SNxPkBJc6P8VIHSS1RPru7F1ssZN2%2FmGLYJRJggO0TrJAmFczhZ2QRy21vHpqVmFgu8SOL54MR1RuAwOnVRohlYRfWe%2BlIKgXV8ZaocbvuRsR6ygo8iA%3D%7Ctkp%3ABk9SR8T7pvD8YA",""," Giant Stance Dual Suspension mountain bike","","Bikes"
"","","City Bike","","Giant","","","Blue","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","Unisex Adult","","","","","45 cm","","","","Flat Bar","","","Alloy","seek","","1 Speed","","","","","","","No Suspension","","","No","","700C","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","56","AU $450.00","ebay_australia_bike","2022-10-17 17:36:49","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/313988211377?hash=item491b27e2b1:g:9ucAAOSw0StieOoL&amdata=enc%3AAQAHAAAAoG%2BLHuu5VrusO8ZgLC2RgMrV%2Fmz6Es%2B2loSgiXGkkQw%2BLE%2BQL1N8vthqN2ap%2FxjTul5MbNPTZue8hOwOlAqbfyGr9VURadpGuxcf90SPBEyK4AA72j%2BMhr7L22u7Vsay8BSxs5forA6KUSJb9oFZimG0TmObsXTwBLpYKXzfyMqRPwB46o5crGYX167KI3VfEM4Y9U%2B2XQyGFE%2FhmuzGrxE%3D%7Ctkp%3ABk9SR8T7pvD8YA",""," giant seek bike single speed 700c","","Bikes"
"","","Mountain Bike","","Giant","","","Silver","Seller refurbished","","","","","","","17""","","","","Flat Bar","","","Aluminium","Boulder","","24 Speed","","","","","","","Front","","","No","","26 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","57","AU $300.00","ebay_australia_bike","2022-10-17 17:36:49","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/295000347892?hash=item44af6414f4:g:IxUAAOSwAS9ig5Cw&amdata=enc%3AAQAHAAAAoFjd%2F%2B%2FKmgsOWoIDAwY5gd8sZ7DVbyNcL2kFxRsFZuzhpmtmFKh3ZG%2F7qYYigvJuw0bckNahDE8BW4uqJ79PfDoV75am4KsPq1mMOs4M2hYRLq2ch1cds83aiFNr33NKzugfQbb04sJkvWc3cDeKasgJ5GGTCrBAGZ62Y8AErpbsI8UxVcLoFirZrdIYPVaI1GcgCnbcFbuDRgxCIkysDeA%3D%7Ctkp%3ABk9SR8T7pvD8YA",""," Giant Boulder Mountain Bike 26"" wheels Shimano Gears MTB Bicycle 17"" Frame Small","","Bikes"
"","","Kids Bike","","Giant","","","","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","Boys","","","","","Small","","","","","","","","","","","","","","","","","","","","No","","20 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","58","AU $180.00","ebay_australia_bike","2022-10-17 17:36:49","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/175296403535?hash=item28d07ad84f:g:ygYAAOSwQwJij16h&amdata=enc%3AAQAHAAAAoKp%2BULQSWdSFR8855tBrxN8KvVWaSvf%2B%2FRJsjM3DV5nz7as%2B%2FA%2Fy6Da7yBf2sKWZQSIIeQdg0it5Gaq8FNONclYnRjKOmyFyFmJ9UXD36xFzsPYwky1ta7ssF8X6cu1dv9GMVQJc%2BYoVtHgvVmSaz5ycFaxFo%2FSbWhYRa9IhXKG0Gz0NNZDt%2FOagxFsPmHiKECZA7nxVyiPlJE0xZ%2BgH%2B8s%3D%7Ctkp%3ABk9SR8L7pvD8YA",""," Giant XTC children bike","","Bikes"
"","","Road Bike","","Giant","","","Grey","Used","","Unisex Adult","","","","","","","","","","","","","","","","","","","","","","","","","No","","","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","59","AU $549.00","ebay_australia_bike","2022-10-17 17:36:49","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/255693192006?hash=item3b88807b46:g:kT4AAOSw0eZigugv&amdata=enc%3AAQAHAAAAoA7B0nykbcz1KqI68IeP%2FracBmUU4v8i%2B15AASd%2FPf3jMMJ1whJcyqMCLm0ArsxgGmPFzyHuOCWe3Bq7UScnbwvB8m%2FZWKS%2B04zB4UFP05zVaXi1KZft%2FdZok5GNdDMVIZKS1Z%2Fqbsjija1MDQEkAbcv1Aazrb1f5TTfkuRkKt4Yqt830wLTLR%2FUrREw7HonQ4LvFJAtPzESn4CM2VsbaBI%3D%7Ctkp%3ABk9SR8T7pvD8YA",""," Giant Defy Aluxx SL Fluidform Road Bicycle - Size S - S-R2 Tires -Shimano Tiagra","","Bikes"
"","","Mountain Bike","","Giant","","","Grey","Used: An item that has been used previously.  The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ","","Girls","","","","","","","","","","","","Aluminium Alloy","","","","","","","","","","","","","No","","24 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","60","","ebay_australia_bike","2022-10-17 17:36:49","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/134277820324?hash=item1f4394efa4:g:owcAAOSwVLdiivBq&amdata=enc%3AAQAHAAAAoAfdSAPIEN152LMbN7mCcPJOVEl%2FJS9qkqD%2FzGFv9ZNK54Q%2Bw4E4iXgc5nY4MDJ0D0elVfhUbXWUowKNKnqx4YfxPG%2FYp%2BPca8GpMQI948FO48YQ9ZzwOC7RXP%2BZYfIaN2iarWIREcptwLQbCEBRyia%2F5uqz6hCX86bLqxLQYhbBXGbWEbwdp6wwHRqHEnE7L2%2BfC2UqLJWVvxQI3WCDFbU%3D%7Ctkp%3ABk9SR8T7pvD8YA","AU $355.00"," GIANT LIV ENCHANT girls bike 24 inch Grey Blood Orange Excellent Cond ","0","Bikes"
"","1","Racing Bike","disc hydraulic","Giant","","","White","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable).  Packaging should be the same as what is available in a retail store, unless the item was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.  See the seller's listing for full details. ","","Unisex Adult","","","","","Small","","","","Drop Bar","","Does Not Apply","Carbon Fibre","TCR ADVANCED DISC 2 SE","2021","","","","","","","","No Suspension","Clincher Tyres","","","","700C","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","61","AU $2,718.40","ebay_australia_bike","2022-10-17 17:36:50","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/134132482065?hash=item1f3aeb4011:g:Fn8AAOSwxR1ik3ZF&amdata=enc%3AAQAHAAAAoK6nAR4FwvXGBJguaJuyAr7MU7Sd450ZUn48Xc3QSjgce1zWzDhr99PjisNsve5c1Ldu%2FuScZpIIdEk8zhgDwKZ1YCY3p5D1oVg6JkanwQJv1nKLEHD83ckbrZTA6mgY7OI1TmAfUq9J661XK7OMpIMCItG18UxSUbPlD3IzaiFThvVsP89uRtnmdzqlp1tjRHqC%2FNa6pbFkgIxp64r80bI%3D%7Ctkp%3ABk9SR8L7pvD8YA",""," GIANT TCR ADV 2 DB-SE  S  WHT 2021 Road Bike - race Carbon Bike","","Bikes"
"","0","Racing Bike","disc hydraulic","Giant","","","Carbon / Knight Shield","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable).  Packaging should be the same as what is available in a retail store, unless the item was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.  See the seller's listing for full details. ","","Unisex Adult","","","","","Small","","","","Drop Bar","","Does Not Apply","Carbon Fibre","TCR ADVANCED DISC 2 PRO COMPACT","2022","22 Speed","","","","","","","No Suspension","Clincher Tyres","","","","700C","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","62","AU $3,038.40","ebay_australia_bike","2022-10-17 17:36:50","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/134133380227?hash=item1f3af8f483:g:8pIAAOSwuAxilMCy&amdata=enc%3AAQAHAAAAoH7LJCmKZSxBOyK%2BsN3qj7wZGADo9w7%2Fj8Zb0FJdgYhTHoQ85CaWv%2BWLsj%2BQfz7ePCXjZOaG5CF30raicDb%2BqqmwQr7icMtGfDJ6NaAj4zLehS81gHwIqLTT4kOp1pwsBM1%2FkRm0HI9GmExrv8T6gQEf1QzQDqTKZrOs8J%2BUJLlngnsRjETDSbT%2FFwj3qKX9j1x%2FmPHRU19WsPIXLwpmXuA%3D%7Ctkp%3ABk9SR8L7pvD8YA",""," GIANT TCR ADV 2 PRO COMPACT DB S  2022 Road Bike - race Carbon Bike","","Bikes"
"","0","Mountain Bike","Rim Brake - Mechanical","Giant","","","Metallic Black","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable).  Packaging should be the same as what is available in a retail store, unless the item was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.  See the seller's listing for full details. ","","Unisex Adult","","","","","Small","","","","Drop Bar","","Does Not Apply","Aluminium","Talon 4 29""","2022","","","","","","","","Front","Clincher Tyres","","","","29 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","63","AU $670.40","ebay_australia_bike","2022-10-17 17:36:50","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/134140097195?hash=item1f3b5f72ab:g:C-QAAOSw0VxinfgM&amdata=enc%3AAQAHAAAAoD0jooTVDaqKvFtXrBwLwIUZCOpnjHOpIu7y8kFDpneFhK4nLOOeNvmLYCVdxwSb2QJOFIFBbOOH7VHHsdcr%2FxX%2Bf6qFZHmOHdm9yDrFxfBy%2BnLbCuGkQOq9CX9Nkb2Zt4XTR0c6hRQbkvIOdfqCp9VcfrMG2tf2OaFgJI3xl3k0Lb9G%2BkenuzPxe6Z0B8GTSyIS1yfZQydqCmer4azLbsI%3D%7Ctkp%3ABk9SR8D7pvD8YA",""," GIANT TALON 4 MTL  BLK 29 S 2022 Bike - MTB DISC BRAKE Mountain Bikes","","Bikes"
"","0","Mountain Bike","Rim Brake - Mechanical","Giant","","","Metallic","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable).  Packaging should be the same as what is available in a retail store, unless the item was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.  See the seller's listing for full details. ","","Unisex Adult","","","","","Large","","","","Drop Bar","","Does Not Apply","Aluminium","Talon 4 29""","2022","","","","","","","","Front","Clincher Tyres","","","","29 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","64","AU $670.40","ebay_australia_bike","2022-10-17 17:36:50","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/134140095836?hash=item1f3b5f6d5c:g:8eYAAOSwk5Zinfdg&amdata=enc%3AAQAHAAAAoL2K4mNE6vkpC93p3RSpyU6A62d6aPA71psEFSQBkmTp3b4HfZlM8jpTrE0QNi8as%2FlucMAibQGEjl29vADtGEgXhuJgP%2BawSnxT%2BOv0IWek7Q0XQxI%2FNtlUtXFjhsLiLSRqeA4wuHzgSSk2PkhvvGFQaX4RAgVdNND6di%2BQ3hXSCNsKOsvEd12IXf4oz8ke5pff%2FdJn%2FwlpxyiTd0T1pd0%3D%7Ctkp%3ABk9SR8D7pvD8YA",""," GIANT TALON 4 MTL 29 L 2022 Bike - MTB DISC BRAKE Mountain Bikes","","Bikes"
"","0","Mountain Bike","Rim Brake - Mechanical","Giant","","","Metallic Black","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable).  Packaging should be the same as what is available in a retail store, unless the item was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.  See the seller's listing for full details. ","","Unisex Adult","","","","","Medium","","","","Drop Bar","","Does Not Apply","Aluminium","Talon 4 29""","2022","","","","","","","","Front","Clincher Tyres","","","","29 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","65","AU $670.40","ebay_australia_bike","2022-10-17 17:36:51","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/134140097957?hash=item1f3b5f75a5:g:NXkAAOSwjFRinfiE&amdata=enc%3AAQAHAAAAoPo4KCCofilfeBPnVrvMVb2AzgvzjPw6M1J0gSOLJYO0CW1etXVqc%2FjT5X2Bdqsi8byA%2BYtgQ0sh0L51QFlAUYUEAUcxeWVgbQ98NEnXc5SD2QcQfwqJC3YHGQl1j9eL9oKjaYz6NCQ1XGBUBIxHaJK4nt%2B8BGz1hGOXYC2eakVAT53DbPEq%2FOTAIhYlF5z7tE2V5P6pof00%2FRqraUdeOeI%3D%7Ctkp%3ABk9SR8D7pvD8YA",""," GIANT TALON 4 MTL BLK 29 M 2022 Bike - MTB DISC BRAKE Mountain Bikes","","Bikes"
"","1","Racing Bike","disc hydraulic","Giant","","","White","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable).  Packaging should be the same as what is available in a retail store, unless the item was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.  See the seller's listing for full details. ","","Unisex Adult","","","","","M/L","","","","Drop Bar","","Does Not Apply","Carbon Fibre","TCR ADVANCED DISC 2 SE","2021","","","","","","","","No Suspension","Clincher Tyres","","","","700C","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","66","AU $2,718.40","ebay_australia_bike","2022-10-17 17:36:51","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/134132485980?hash=item1f3aeb4f5c:g:OTwAAOSwohpik3bY&amdata=enc%3AAQAHAAAAoLZDLZZHTwkNPlA%2FoNf1CuE4SN1cZ0YS8i7KWaIoKMNM8R4STD%2FF8rc0GkwBYSG121hqe7fzVMVKgrrnu4hS9%2B2%2FjaEeWylUsA3wNsH5GFchXEoVeBKskmp3a3ytWVXBDQKvcq1I94zlv01bHjBP%2BjAGCBNMc7H7fa7gW443SjHjEE3GrMltara8HiTfKvLeX%2FF2ceTVDa6TgrOtrMZdV58%3D%7Ctkp%3ABk9SR8L7pvD8YA",""," GIANT TCR ADV 2 DB-SE  M/L WHT 2021 Road Bike - race Carbon Bike","","Bikes"
"","0","Racing Bike","disc hydraulic","Giant","","","Black Chrome","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable).  Packaging should be the same as what is available in a retail store, unless the item was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.  See the seller's listing for full details. ","","Unisex Adult","","","","","M/L","","","","Drop Bar","","Does Not Apply","Carbon Fibre","TCR ADV 1+ PRO COMPACT DB","2022","22 Speed","","","","","","","No Suspension","Clincher Tyres","","","","700C","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","67","AU $4,158.40","ebay_australia_bike","2022-10-17 17:36:51","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/134140052213?hash=item1f3b5ec2f5:g:XJYAAOSwG01inevn&amdata=enc%3AAQAHAAAAoNfs5yLi2GJQQpT0SoXzf0EBMahoXqDTJ67B00ivTIZ0Kp5YajXiJxda4Hgl%2FTGGYuF%2B1%2FoENOUOLdGl7%2BfQ0rKvD1NyqRhvCBelwZcgN76ByLWtm4RYiaC5h%2F7YSNZajhCe%2FPg4ek6BVRe8qbhZyHRSmjNpHxYmd74swgGQyiWsVijXpPEFyU1rEkCmC8USBAUioGTFnnZNvrTwkU6gCO0%3D%7Ctkp%3ABk9SR8L7pvD8YA",""," GIANT TCR ADV 1+ PRO COMPACT DB M/L BLK/CHM 2022 Road Bike - race Carbon Bike","","Bikes"
"","0","Mountain Bike","Rim Brake - Mechanical","Giant","","","Metallic","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable).  Packaging should be the same as what is available in a retail store, unless the item was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.  See the seller's listing for full details. ","","Unisex Adult","","","","","Small","","","","Drop Bar","","Does Not Apply","Aluminium","Talon 4 29""","2022","","","","","","","","Front","Clincher Tyres","","","","29 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","68","AU $670.40","ebay_australia_bike","2022-10-17 17:36:51","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/134140095832?hash=item1f3b5f6d58:g:JOEAAOSwTnpinfdh&amdata=enc%3AAQAHAAAAoF3MhoZ3b9RfHYyAgRpXpYUMZszg%2BqRCuF2sLvMvEy7cOV7OCNS%2BF%2BM5Ka%2BELj%2B%2BWDqXFFC2jwBk30qtXTDrLUP6lQKFWXGYFc1h40OQaZUmFhe1ojtxeeLltWed3EDd%2FYjuNjm5L8%2FQr1qxNm1B%2FPAGmYVHqh7%2BWvCiFVlE1yXjV8MlwHBHkhWyybtdt56TyqMin4nfakMBylkEFrAEG0Q%3D%7Ctkp%3ABk9SR8D7pvD8YA",""," GIANT TALON 4 MTL 29 S 2022 Bike - MTB DISC BRAKE Mountain Bikes","","Bikes"
"","0","Mountain Bike","Rim Brake - Mechanical","Giant","","","Metallic Black","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable).  Packaging should be the same as what is available in a retail store, unless the item was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag.  See the seller's listing for full details. ","","Unisex Adult","","","","","Large","","","","Drop Bar","","Does Not Apply","Aluminium","Talon 4 29""","2022","","","","","","","","Front","Clincher Tyres","","","","29 in","Sporting Goods>Cycling Equipment>Bikes","AU Dollar","622154","AEID-5183","69","AU $670.40","ebay_australia_bike","2022-10-17 17:36:51","www.ebay.com.au","Australia","https://www.ebay.com.au/itm/134140098909?hash=item1f3b5f795d:g:hg0AAOSwRUdinfj8&amdata=enc%3AAQAHAAAAoJEgXuqy2xjZHxcszqMKrGRFDQWzQFIbclGEJlTVrX77jx%2FCXBk98ABrWm84B4Wre00hXRoFsTbqTAKrh5%2FrVu9e5HjqAxg%2FuKzPAGd7QxuQWYNOg8EPNaxqtBRNV2RyNmlTvHmyDDhoa3winc4j136M4DlLZUn3lHs7uPcVvwG3TC8JuGn4KzkiGBNLk6m4ohwlzlBM2nUpUhjJ%2FrWZ4M4%3D%7Ctkp%3ABk9SR8D7pvD8YA",""," GIANT TALON 4 MTL BLK 29 L 2022 Bike - MTB DISC BRAKE Mountain Bikes","","Bikes"
